名称	原始类型	原始字节	sha256	抓取日期	出处地址
toolcraft-anthropic-writing-tools	html	248593	80b157b1f31c0bd0cecfa12bdbfdbdf6d400af2f9ba52332288e02a987294f57	2026-09-20	https://www.anthropic.com/engineering/writing-tools-for-agents
toolcraft-openai-function-calling	html	1431635	93d9264ef44c877aff7a2874f70c56ddcc3fd60ec17a9fbaad12aacb685b4d46	2026-09-20	https://platform.openai.com/docs/guides/function-calling
vendor-atlassian-remote-mcp	html	177849	3b58aea91c126029036843d77644ece3adab7bdc91a552593cbde59524295f41	2026-09-20	https://www.atlassian.com/platform/remote-mcp-server
investor-menlo-state-of-genai	html	190004	4565d36413afe796233ffadc6dbe5c70bea5506df1e034d07ec831e0e2ff5210	2026-09-20	https://menlovc.com/perspective/2025-the-state-of-generative-ai-in-the-enterprise/
standard-mcp-spec-index	html	307491	63100c2fdba3a3dc6e2d89bd98ff989d314fabebe02bba6fd23dd204da244cd6	2026-09-20	https://modelcontextprotocol.io/specification/latest
standard-a2a-protocol-home	html	92841	cd8978404ffbc88ad48edff895a8931b751131df0ca06aae38adfa81da88a217	2026-09-20	https://a2a-protocol.org/latest/
standard-nist-ai-rmf	html	93420	edef94d13e77250e88f499ae08109bd702434f4c8fa925369907b1c2757e265c	2026-09-20	https://www.nist.gov/itl/ai-risk-management-framework
vendor-servicenow-action-fabric	html	98920	1cf4eee81d5873cb565df49c8c1b52ac6862ccb99d6650874e3fe733270d3575	2026-09-20	https://newsroom.servicenow.com/press-releases/details/2026/ServiceNow-opens-its-full-system-of-action-to-every-AI-Agent-in-the-enterprise/default.aspx
vendor-salesforce-headless-360	html	175992	74cb531db644d5f05cdbf18934a7d3e90afc11226edde9cafa168bbcd798141e	2026-09-20	https://www.salesforce.com/news/stories/expanding-headless-360-enterprise-capabilities/
analyst-forrester-state-of-agentic-ai	html	180982	592534fdc38e034529f58ad0ccef1ab8ce93e9994c77bc6baba44738d0a81ff0	2026-09-20	https://www.forrester.com/blogs/the-state-of-agentic-ai-in-2026-companies-are-chasing-few-are-catching/
analyst-idc-landing	html	52972	546c73e9586142695b552487dc11a9b25e50a5c58145fe1699c6a5c0047e29ca	2026-09-20	https://my.idc.com/getdoc.jsp?containerId=US54377825
platform-aliyun-bailian	html	83588	6c4a8d223f9ae1f80b46c4a4dd55e82aab78e9c186e7a6fd851c317da4d28b4a	2026-09-20	https://help.aliyun.com/zh/model-studio/
academic-2609.19100-remote-mcp-centralization	pdf	472996	03aaba2e7990950435cb064145c2ee1bcaa33822adb7332758c78aabd21e695b	2026-09-20	https://arxiv.org/abs/2609.19100
academic-2609.14721-mcp-publication-adoption	pdf	257517	f25855d16e24950591ca39b83853e29093e25f9ce82110de1b21571468b68b8a	2026-09-20	https://arxiv.org/abs/2609.14721
academic-2609.11999-is-bash-all-you-need	pdf	980993	11d817ca3460e546b625355222f1bf277f4fccb761d639e35a20f79b43e14cab	2026-09-20	https://arxiv.org/abs/2609.11999
academic-2609.05975-intent-drift-sme	pdf	274774	8ea67c26f37cb789238cfc33c3da32b9ce6c59d65e9a5b397b8f287b9f044c3a	2026-09-20	https://arxiv.org/abs/2609.05975
academic-2609.15906-authorization-architectures	pdf	2663128	5e763996c48614188b99558cd99816dabb4557871a460ff7ea874f417bca327d	2026-09-20	https://arxiv.org/abs/2609.15906
academic-2609.14119-same-name-different-server	pdf	345996	44f13ca8414debb300ef4e69d182bdefd8b7b1addd6347def80a81413e7072a4	2026-09-20	https://arxiv.org/abs/2609.14119
academic-2608.22063-domain-oriented-tooling	pdf	303833	32facd49a4a917b1ee1759b71b18ace0864a7e145d0b08991bbeea61adbb3e8a	2026-09-20	https://arxiv.org/abs/2608.22063
academic-2608.23992-semantic-tool-discovery	pdf	2170314	d39426bce593c7e2132e3414bc37cb3b6059c21b4f189121caed9fc31d0fe13e	2026-09-20	https://arxiv.org/abs/2608.23992
academic-2609.15066-salesforce-koa	pdf	3622844	1753c9f2c2a2e0ea9a15a331c3a488071c9dd55658cc8fa77332826457eb530b	2026-09-20	https://arxiv.org/abs/2609.15066
academic-2609.15397-tool-calls-succeed-workflows-fail	pdf	290426	985e00c939f5c1b5ec2e2427406db053a5082bc46264e7e7902617e2bc7f3a85	2026-09-20	https://arxiv.org/abs/2609.15397
academic-2609.14780-stochastic-deputy-tenant-isolation	pdf	2071058	83c289bda3271a76f9eb71b081382a0f57f078dfbe2b6138b7064a3d700ea08a	2026-09-20	https://arxiv.org/abs/2609.14780
academic-2609.00267-delegation-without-trust	pdf	342297	3e70ed2b15f1311cb45f8bf358e0a573f4daa7a6a34d424c175a08bce574bec8	2026-09-20	https://arxiv.org/abs/2609.00267
community-eu-ai-act-timeline	html	338715	7d0ec2a12f1f732360a8e985e8d13fe9da915407330ea90ea206a82d42e27540	2026-09-20	https://artificialintelligenceact.eu/implementation-timeline/
platform-anthropic-engineering-index	html	178152	a55fdfc53b063a01681f9543b261a52fb0cd50ff96218987dfbf097bb15c10f1	2026-09-20	https://www.anthropic.com/engineering
community-voltagent-agent-papers	md	179997	a7e5a1ccbd7a3092e243c9c662167ee7dbdda337ba189b9e3f4343331cbb5bd5	2026-09-20	https://github.com/VoltAgent/awesome-ai-agent-papers
community-puliczek-mcp-security	md	20686	69315944bf0cc3d14f3a86ca7728341fa7609e33bbf42d4445c32aa9b88ca14b	2026-09-20	https://github.com/Puliczek/awesome-mcp-security
community-agentseal-mcp-server-scores	md	185856	011c4541309cf84af8045ffb697666289ded04a5f8eb03859a2e7df6a966bb6e	2026-09-20	https://github.com/getagentseal/awesome-mcp-security
academic-2507.13334-context-engineering-survey	pdf	3808920	ab220955b1fd9fe1d590bfeef946f52b4e1ddbf317a58bc18fc2863b3cb3d4a5	2026-09-20	https://arxiv.org/abs/2507.13334
community-context-engineering-readme	md	167292	b1bef0494795d82a569856500d6eb8da6736d1c027a56b600c4ac93541a384b8	2026-09-20	https://github.com/Meirtz/Awesome-Context-Engineering
standard-mcp-registry-design-principles	md	1963	7645ef5c8164113e7112630f5e9575668234a91068f6403b69dd65547d479f3b	2026-09-20	https://github.com/modelcontextprotocol/registry/blob/main/docs/design/design-principles.md
standard-mcp-registry-ecosystem-vision	md	2993	b9b97a911b4cffbb8afb375b68945c2be6a94897db54141794059df6aded763a	2026-09-20	https://github.com/modelcontextprotocol/registry/blob/main/docs/design/ecosystem-vision.md
standard-tc260-agent-dev-security-guide	pdf	1027156	27c2765673ce18e56d8e2e548a450e032b96e0092ca8d018b93eee5e9e4b3e2a	2026-09-20	https://www.tc260.org.cn/tc260/tzgg/202609/e5b82ae7aca244d19d36b39575cbb458.shtml
vendor-salesforce-agentforce-pricing	html	606608	2922f534176aa81a724e3fe26f58c356779a184dc9deb8f75a244d9a4721e28c	2026-09-20	https://www.salesforce.com/agentforce/pricing/
vendor-intercom-fin-pricing	html	2178922	df83492af3be01738197184a5c029f68cdaf51812f9ab47063e6fc270a144367	2026-09-20	https://fin.ai/pricing
announce-acp-joins-a2a	html	306104	5a20a6767c0a987f19557b66c525c1f2b329d8da882c44b178811d5215025f5c	2026-09-20	https://github.com/orgs/i-am-bee/discussions/5
vendor-typesafe-jev-announcement	html	254256	ad8a0a7d2b9959635e12f2f31204b36b87215e313516d29bfddf06561be22313	2026-09-20	https://typesafe.ai/blog/introducing-system-one-models-and-jev
vendor-typesafe-jev-docs	html	297924	2bc092f43e833d1fc59c4e9485efa625090f0467e1af9333b7b8e8fd96f11788	2026-09-20	https://docs.typesafe.ai/introduction
community-punkpeye-mcp-servers	html	258524	1eb8a99c08fbb91eb0809b17889159127c362cf5b6a0fb1ad3d3655c86b1bb01	2026-09-20	https://github.com/punkpeye/awesome-mcp-servers
academic-2601.01241-mcp-sandboxscan	pdf	3354309	aa05a460a58d35c4514285c331899de644861fe8c8ce09c02dc985b8a5c9252d	2026-09-20	https://arxiv.org/abs/2601.01241
academic-2601.05214-tool-selection-hallucination	pdf	1570945	761b87839ddfc85b03ea3b91f3d2e2bb885c249799bbd923d44f367e7c05471c	2026-09-20	https://arxiv.org/abs/2601.05214
academic-2601.07395-mcp-itp-tool-poisoning	pdf	675691	a6ba5b83e0bf796f8ba60975860dcf2103f456bfac1cdc928bb989009b8c9b7e	2026-09-20	https://arxiv.org/abs/2601.07395
academic-2601.08012-verifiably-safe-tool-use	pdf	594404	445ba150fe29c42a0a151ee43829a6c67064356bd4e2803929e68beea3ca9e22	2026-09-20	https://arxiv.org/abs/2601.08012
academic-2601.08276-ace-router	pdf	2958352	3cbd89724202864d68353a599fdc031241475e2f89e845168a4aabb0ef1744b1	2026-09-20	https://arxiv.org/abs/2601.08276
academic-2601.09883-information-flow-orchestration	pdf	5063917	77902750b856bf7f2704f5212c00e0d82ad0d21ded89f3e0670ec2257a928858	2026-09-20	https://arxiv.org/abs/2601.09883
academic-2601.10681-context-bubble-enterprise-rag	pdf	744007	29b13124dd45613c56f5d477f8787124999b2a5b78c9b1d7b4628bfeb4bc8c41	2026-09-20	https://arxiv.org/abs/2601.10681
academic-2601.10955-resource-amplification-tool-chains	pdf	3270321	ed33f5670b718dbb449a216656c9369f48cee9daa6e66995dae097ee3ad8b7a7	2026-09-20	https://arxiv.org/abs/2601.10955
academic-2601.11369-institutional-ai-collusion	pdf	1686172	fa79b39618dbf87ef9502578c84688510e8caf43ba86e056b0da3093c81c50b9	2026-09-20	https://arxiv.org/abs/2601.11369
academic-2601.11595-context-aware-mcp-collaboration	pdf	630833	b2eb0acf83647722e2617a1e313b5c3e9dcaa2da94103430ac4f84a0fa29a8d6	2026-09-20	https://arxiv.org/abs/2601.11595
academic-2601.13671-orchestration-multi-agent-systems	pdf	1163506	070b9c3d735733f2fd0bfe0716af5e034304a34ea7f7edff86ab2b29e6fd804c	2026-09-20	https://arxiv.org/abs/2601.13671
academic-2601.14982-digital-identity-delegation	pdf	867943	c486beb9c0bb8c260cbc3bf9acf57c08780eed099cace8a6f59a2b21aafdbaac	2026-09-20	https://arxiv.org/abs/2601.14982
academic-2601.15528-securing-llmaas-small-business	pdf	645776	83eab60ffa384b626291446d98d8c631fee71661dccda4d8e43d660811c77709	2026-09-20	https://arxiv.org/abs/2601.15528
academic-2601.15630-agentic-governance-healthcare	pdf	5370755	af2a8d213cf6489a1d2c43cc686fc5c742d7fb5520c5f91338a99e5c767d4c68	2026-09-20	https://arxiv.org/abs/2601.15630
academic-2601.17435-declarative-agentic-layer	pdf	2279991	4e4eee85a3af4c9c6fba0e59fbfdc90f4a9b4c0f231dafe9c51f3aa7dc55a969	2026-09-20	https://arxiv.org/abs/2601.17435
academic-2601.17549-breaking-the-protocol-mcp	pdf	204728	6062ed57dcfffb492e9b99657d9ea774ad22c1cecec7ebab83ffe0c667aeaafe	2026-09-20	https://arxiv.org/abs/2601.17549
academic-2601.17744-faramesh-control-plane	pdf	1198632	76c8517c2d6428fd26fb0d6fca8d9ae6e838f8e3cfa9d1291ca48961ff5b5afa	2026-09-20	https://arxiv.org/abs/2601.17744
academic-2601.21226-delegation-without-living-governance	pdf	149876	2ddde512e9543b0cb157da2b08347f09acdc86ec3cd52e8309e72214ffe4bd9b	2026-09-20	https://arxiv.org/abs/2601.21226
academic-2601.22569-red-teaming-ap2	pdf	1119243	6263db1dceec62e684b45c1640ac4ceef5197bb3be4928380813e4f084d39834	2026-09-20	https://arxiv.org/abs/2601.22569
academic-2602.00213-tesspay-verify-then-pay	pdf	494638	3128fd1466d33e86887c54ecce8aa79d0cfe1bc0e92214cb20fecf898a6f7651	2026-09-20	https://arxiv.org/abs/2602.00213
academic-2602.00751-clinical-workflow-agents	pdf	1131677	3f80501937fdff80c6b61edd08781b568a703558cc9c93257aa03e1c13e373da	2026-09-20	https://arxiv.org/abs/2602.00751
academic-2602.01129-smcp-secure-mcp	pdf	1381674	d7e94a087e9a6c90f2ca4ee9144ae968212c855d3a0f83c73300074fc61f2c9b	2026-09-20	https://arxiv.org/abs/2602.01129
academic-2602.06495-subgraph-reconstruction-graphrag	pdf	1318110	a512502b92161cc4d08789b25c845d7fb293ce33401ea1453574adf578c3e2e8	2026-09-20	https://arxiv.org/abs/2602.06495
academic-2604.14572-corpus2skill	pdf	1157176	0409bc5943358fc9282da7a55942a64529f3d05ce8269e8caa4c0a5439f41c7e	2026-09-20	https://arxiv.org/abs/2604.14572
academic-2606.00135-agentic-tool-calling-rl	pdf	815418	c729eaa672af1e109c27246dba6fb0157e6a41186e18a80e316d6fef31d641ae	2026-09-20	https://arxiv.org/abs/2606.00135
vendor-deepseek-harness	html	399126	6d3a88cc3baeb2b41c0978865b5ba5e1a7d4a82c75857fdfd27ede5ae9c2e404	2026-09-20	https://github.com/deepseek-ai/deepseek-harness
academic-2608.16393-deepseek-harness-security	pdf	5972020	9285233a8ef9819d2507b3e4d8aa82ae3b948485a63378727661b3fdae09310e	2026-09-20	https://arxiv.org/abs/2608.16393
vendor-openai-codex	html	362527	340b2b6467d5b3c78ac5db543dc410c584f83ad067c1ed94a0460889d85edc3d	2026-09-20	https://github.com/openai/codex
vendor-anthropic-claude-code	html	303484	18d587ff8c1590aa1d2137d203489a70f58dd261f3e650692b2a21d89119d5d4	2026-09-20	https://github.com/anthropics/claude-code
vendor-google-gemini-cli	html	483754	672df58d7118b99febb034f838b1eb3056c8cb6b3615ec743ebf8e1595a9f31d	2026-09-20	https://github.com/google-gemini/gemini-cli
vendor-qwen-code	html	409145	833fd3a67d59de7194ff95e467f16ded29ec6963bf8c3c1a01860e6b57948a5d	2026-09-20	https://github.com/QwenLM/qwen-code
vendor-langgenius-dify	html	419793	4990ae9cfc09aa9a6d7f53ac3eb7c006b406593736e7eedabdd30658403949bf	2026-09-20	https://github.com/langgenius/dify
vendor-bytedance-ui-tars	html	341249	a8e19b0584910b0c901e001a7f0439f4e316ac4130c5f3ff2b77e2e96760ba0d	2026-09-20	https://github.com/bytedance/UI-TARS
vendor-palantir-ontology-system	html	264352	34dc66b462ff67844a51ceabc5b9d845b6dd12466651d9c676ad84fd82f321ae	2026-09-20	https://www.palantir.com/docs/foundry/architecture-center/ontology-system
academic-2602.01276-llm-ontology-construction	pdf	560383	1a91f2277bed1b4ddda1facad84905f58525022b5bc811dfd0ac1487f097308f	2026-09-20	https://arxiv.org/abs/2602.01276
academic-2602.03439-ontology-to-tools	pdf	1583711	4041cbeefc469072227f5e6813d4ddc1c7c7120132390ad721f94be5ebf1272d	2026-09-20	https://arxiv.org/abs/2602.03439
academic-2604.00555-ontology-constrained-reasoning	pdf	1059250	8080980688f0dc86abdcff17617e3e0827cb9de09630b76a1ac386eb73451eda	2026-09-20	https://arxiv.org/abs/2604.00555
academic-2604.15951-graphs-llms-agents	pdf	2878248	ad38b7f8da0b222137e2410ea6b8aba5db3d43c6b046f4f5b6df7b92a15646fd	2026-09-20	https://arxiv.org/abs/2604.15951
vendor-langchain	html	316893	149d2a4ed453dbebd947985562f2f1582f6c6551b11a8538e95697ba751c6336	2026-09-20	https://github.com/langchain-ai/langchain
vendor-langgraph	html	303004	60b6575c1778cbcdbd7b85e709bd2c942b7f2a1e1673438d686cec4f87ab090b	2026-09-20	https://github.com/langchain-ai/langgraph
vendor-llamaindex	html	381460	023d6b18bc606872612112cd8dfcabee366abb5558f264587948f2dc245d8f2a	2026-09-20	https://github.com/run-llama/llama_index
vendor-crewai	html	531619	f70acdeba7f96f479820e49c9e0ad75a011dc410c06e1fdc15562bfeac76716e	2026-09-20	https://github.com/crewAIInc/crewAI
vendor-microsoft-autogen	html	401411	c583f8d89f96aa7388742dbca3f5b4caf7e51f6197d0c2f0746eeeeac9a42693	2026-09-20	https://github.com/microsoft/autogen
vendor-openai-agents-sdk	html	362195	6b67d925ba021d8b8bf04cfe6b314f0278cf61d69c7b5d61f35ac512330cb4c4	2026-09-20	https://github.com/openai/openai-agents-python
vendor-pydantic-ai	html	439487	cfd6033b61ec7f83aad41d5b56b1e111b15b3b2e8cea5b84f95f22e85caf688a	2026-09-20	https://github.com/pydantic/pydantic-ai
vendor-microsoft-semantic-kernel	html	440126	00a124cf2deb38cd9f954a367d1e010b78c89465fc0ef4cd1f2d4931037e5141	2026-09-20	https://github.com/microsoft/semantic-kernel
vendor-deepset-haystack	html	385920	09e4c562c9f33c47ddb10841a86a664487c14edbb8ae574faf1ca18e8e3ad09e	2026-09-20	https://github.com/deepset-ai/haystack
standard-agent-skills-spec	html	284492	189669b95ab382c609fe8194e9eb744568794492e0f052d8d4e43606b756198c	2026-09-20	https://github.com/agentskills/agentskills
vendor-anthropic-agent-skills-blog	html	175170	fa3c2d9696d476fd3552eb391111742540d140613f0ca800e058f2f2c86fb84c	2026-09-20	https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills
vendor-anthropic-skills-repo	html	281294	9ad93a079e60e9feffd58118a1c682cba6e322eb8e8556169141b3ac80bbb64a	2026-09-20	https://github.com/anthropics/skills
vendor-huggingface-smolagents	html	379903	e4c8299c47e6765937fa705aa8aaf6b73a33d3dfe63e2953d6e1019a6f66fe43	2026-09-20	https://github.com/huggingface/smolagents
standard-agents-md	html	283706	0132f760f6894e47933b537371f159cf9171a60960a5f764877594aafd3ca3b1	2026-09-20	https://github.com/agentsmd/agents.md
bench-swe-bench	html	338544	852beae83f2f372640244d3ccddff8de2e27cbc311bb29ae308d08e109a1ddf0	2026-09-20	https://github.com/SWE-bench/SWE-bench
bench-tau-bench	html	316125	cd85090b0c18d16803b3fc6446212b38607af0f67c894387a2e41767c6df4ba8	2026-09-20	https://github.com/sierra-research/tau-bench
bench-gorilla-bfcl	html	351650	7f9d00f4b759b73d107264c7a7087e3dce6010fe0aa124fbec24ba38d0016371	2026-09-20	https://github.com/ShishirPatil/gorilla
bench-terminal-bench	html	342565	490a2a0fc783d35869a83b8cab4405805f415bf89b42924243a781f46b83219c	2026-09-20	https://github.com/harbor-framework/terminal-bench-1
academic-2311.12983-gaia	pdf	4254059	5bf6f968d4f5cd20acdfca6e81e3c9f5277bb66061fad7a02e35442dff812ba0	2026-09-20	https://arxiv.org/abs/2311.12983
standard-otel-genai-semconv	html	172981	d5bd1709cde12017ba8bc6d374d78a95ee2882930a70bfadb4f0cfdca0d6df5e	2026-09-20	https://opentelemetry.io/docs/specs/semconv/gen-ai/
vendor-langfuse	html	624808	836f4d75af712f68a679b84d8158e1037ebb667b2e540ea5e460035980235102	2026-09-20	https://github.com/langfuse/langfuse
vendor-arize-phoenix	html	702443	60cbfe142bd0a17340d4238af62454d54b14d36201f9db9d2c55038e5d0d561c	2026-09-20	https://github.com/Arize-ai/phoenix
vendor-playwright-mcp	html	622928	693af4182de533ae02a78776d27b4278b39e2d6ae800d72a0aaab3e7151fd209	2026-09-20	https://github.com/microsoft/playwright-mcp
vendor-browserbase-mcp	html	369475	e5d1359898f58405f183f481f601cec7eda80b8b1af1e4ca68c383f2c743d16a	2026-09-20	https://github.com/browserbase/mcp-server-browserbase
vendor-anthropic-computer-use	html	1494982	0bb9bc15377591546f5c9117120db199211b8256435a495dd2d828ba8d4d040d	2026-09-20	https://platform.claude.com/docs/en/agents-and-tools/tool-use/computer-use-tool
standard-google-ap2	html	350302	3ec7b9e9b223aa7910ea4c65a0e7ae211a8f3147fe4eb9d73ec0eb530a9c1022	2026-09-20	https://github.com/google-agentic-commerce/AP2
standard-coinbase-x402	html	342713	9214752356797d914711cbbba429067f21d6029a524869b14b6592bb85a56438	2026-09-20	https://github.com/coinbase/x402
vendor-mem0	html	412923	bb40375d2323be8c45028ebd15d9addd4793f9968df7fa6757cf0cd6e6282081	2026-09-20	https://github.com/mem0ai/mem0
vendor-letta	html	269922	7d684da139aaa6b24428b4b9db8e5dda5b8a57dda0596992bf4486a6a5ee8a68	2026-09-20	https://github.com/letta-ai/letta
vendor-zep	html	302571	681956bf32617e2e8ff4bbfb10d4dda4c6e4479353469ac458ac5c5b7356df43	2026-09-20	https://github.com/getzep/zep
standard-spiffe	html	307749	f2e3608f2edfbcb8db82709f611eb65d863840cd54c38bc927dc082fbdc5d881	2026-09-20	https://github.com/spiffe/spiffe
vendor-pgvector	html	707302	24d6e693835d57f4b9ef2c7e2e0986e1de7c1142b839d4627cb72bd89ef83d20	2026-09-20	https://github.com/pgvector/pgvector
vendor-chroma	html	363950	1e7f9305724e9ea87affa9188915a38fb1d5b8eb04f75e456f0e58ce6e287862	2026-09-20	https://github.com/chroma-core/chroma
vendor-inngest-agentkit	html	495919	9f37a1215332d6068953990f7cfd55da5e0237b5ed24779357a2cd5e8801f304	2026-09-20	https://github.com/inngest/agent-kit
analyst-dora-2025	html	13392	6bb53c243fc615849727e65b6a9aa33dbd6b0d5c4e63af5ce68137db0924b4d9	2026-09-20	https://dora.dev/research/2025/dora-report/
standard-cac-genai-measures	html	29431	7fae988c064dde72c95e96e5727bf9abee4b3a5a1ea817606a9ca1f97ffac54b	2026-09-20	https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm
standard-llms-txt	html	316535	7357f6f87008244d2bc9a6fc75ed69418edb274b89008bbf0c8b314f073a3e27	2026-09-20	https://github.com/AnswerDotAI/llms-txt
vendor-nlweb	html	393862	63c65ca922769b6955e055c2033b39fee88aa6c2947146a6af98c8bb82adc951	2026-09-20	https://github.com/nlweb-ai/NLWeb
vendor-google-adk	html	394341	86e25a6b6575763e38f22acf14c02e0caa82c5f1524893f99c93e43f07faad14	2026-09-20	https://github.com/google/adk-python
vendor-strands-agents	html	367373	265c719e9cfb4c2de9eb31923f478838abc7ff82deeb3bad0d57c963071a82c9	2026-09-20	https://github.com/strands-agents/harness-sdk
vendor-vercel-ai-sdk	html	437288	bd1f767f0f9147ddec1dbffe36e5971187a901c024d61745bbc3e98705dcd697	2026-09-20	https://github.com/vercel/ai
vendor-mastra	html	424414	e58fe58dda9bf436c22b25c6ebaf3641f79f2761636251bad98700eb96e7edcf	2026-09-20	https://github.com/mastra-ai/mastra
vendor-e2b	html	369299	feb76dd1c133458a5ab786856fc63ef7a65535ea5a253b2af5111a521408df87	2026-09-20	https://github.com/e2b-dev/E2B
vendor-daytona	html	331278	6f124099f6b2921649f48643829e206a6646456d56a39de54b923108b917d970	2026-09-20	https://github.com/daytonaio/daytona
